Data,Pastabos,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas
2019-01-03,remontuojamas vandentiekio įvadas.,Partizanų g. 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,tikrinami vandentiekio tinklai.,Partizanų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,remontuojama buitinių nuotekų linija.,Veršvos g. 2 (Domeikava),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,remontuojami šuliniai.,Veiverių g. 45A,Šlaito g. 14 (Domeikava),Žemaičių g. 91,Partizanų g. 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,Patrimpo g. 29,Šiaurės pr. 35,Žemuogių g. 7,S. Dariaus ir S. Girėno g. 19,V. Kuzmos g. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,remontuojama vandentiekio linija.,S. Šalkauskio g. 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,remontuojami šuliniai.,Pramonės pr. 32,Taikos pr. 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,"tikslinamos šulinių vietos, vykdomas jų remontas.",Jotvingių g. 12,Panerių g.,Varnių g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,valomi šuliniai.,Vilniaus g. 15,S. Lozoraičio g. 3B,Šlaito g. 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,9 Forto g. 72,A. Mackevičiaus g. 16,V. Krėvės pr. 26,A. Šociko g. 3,Vilniaus g. 15,S. Lozoraičio g. 3B,Šlaito g. 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
