Data,Vietovė,Elemento tipas,Kelias
2019-01-03,"​Partizanų g. 102 remontuojamas vandentiekio įvadas.
Partizanų g. tikrinami vandentiekio tinklai.
Veršvos g. 2 (Domeikava)  remontuojama buitinių nuotekų linija.
Veiverių g. 45A, Šlaito g. 14 (Domeikava), Žemaičių g. 91, Partizanų g. 72 remontuojami šuliniai. 
Patrimpo g. 29, Šiaurės pr. 35, Žemuogių g. 7, S. Dariaus ir S. Girėno g. 19, V. Kuzmos g. 6 tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.
Kilus klausimams skambinti:
Klientų aptarnavimas  8 800 20 000
Vandentiekio tinklų avarinė tarnyba(8 37) 31 35 92
Nuotekų tinklų avarinė tarnyba(8 37) 31 28 76",Elementas,Lists/darbai
2019-01-02,"​S. Šalkauskio g. 32 remontuojama vandentiekio linija.
Pramonės pr. 32, Taikos pr. 46 remontuojami šuliniai.
Jotvingių g. 12, Panerių g., Varnių g.  tikslinamos šulinių vietos, vykdomas jų remontas.
Vilniaus g. 15, S. Lozoraičio g. 3B, Šlaito g. 14  valomi šuliniai.
9 Forto g. 72, A. Mackevičiaus g. 16, V. Krėvės pr. 26, A. Šociko g. 3,  Vilniaus g. 15, S. Lozoraičio g. 3B, Šlaito g. 14 tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.
Kilus klausimams skambinti:
Klientų aptarnavimas  8 800 20 000
Vandentiekio tinklų avarinė tarnyba(8 37) 31 35 92
Nuotekų tinklų avarinė tarnyba(8 37) 31 28 76",Elementas,Lists/darbai
2018-12-31,"​Raudondvario pl. 150, Kaltinėnų g. 30 remontuojamos vandentiekio linijos.
Veiverių g. 45A remontuojamas šulinys. 
Savanorių pr. 3 tikrinamas vandentiekio įvadas.
Taikos pr. 116F, Šlaito g. 14, S. Lozoraičio g. 3B, Kranto 18 - oji g. 36 tikrinami ir plaunami buitinių nuotekų tinklai.
Kilus klausimams dėl UAB ,,Kauno vandenys"" atliekamų darbų, skambinti į Avarinę tarnybą tel. (8 37) 31 35 92.​",Elementas,Lists/darbai
2018-12-28,"​R. Kalantos g. 10 remontuojama vandentiekio linija. Gabijos g. 4 keičiama vandentiekio sklendė.
Vydūno al. 21 šulinyje remontuojamas vandentiekio įvadas.
Panerių g. / Varnių g. remontuojami šuliniai.
Baltų pr. 120, Partizanų g. 74 valomi šuliniai.
Kranto 18 - oji g. 36 montuojami vandens nutekėjimo davikliai.
Ramybės g. 55A – 35, Partizanų g. 74 tikrinami ir plaunami buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-12-27,"Chemijos g. 6A remontuojama vandentiekio linija. Sukilėlių pr. 36 remontuojamas lietaus surinkimo šulinėlis.
Rnguvos g. 44 valomas ir remontuojamas šulinys. 
Partizanų g. 74 tvarkoma įgriuva ir šulinys.
Liepų g. 33, Ringuvos g. 44, Baltijos g. 56, A. Šociko g. 13 tikrinami ir plaunami buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-12-21,"​Žalgirio g. 9 (Ringaudai) remontuojamas vandentiekio įvadas.
Šilalės g. 5, Sukilėlių pr. 78A tikrinami vandentiekio tinklai.
A. Juozapavičiaus pr. 53, Veiverių g. 107, R. Kalantos g. 173  remontuojami šuliniai, keičiami dangčiai.
M. Daukšos g. 26A tikrinami šuliniai.
Garliavos pl. 37 tikslinami neteisėti lietaus nuotekų pajungimo į buitinių nuotekų tinklą atvejai.
V. Kuzmos g. 6, Plento g. 24, Kleboniškio g. 5 tikrinami ir plaunami buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-12-20,"​A. Žukausko g. 27 remontuojama vandentiekio linija. Vokiečių g. 161, A. Juozapavičiaus pr. 7F linijoje atnaujinamas vandens tiekimas.
Tulpių g. 23 tikrinamas vandentiekio įvadas.
A. Mapu g. 13A tvarkoma įgriuva.
A. Juozapavičiaus pr. 56 remontuojamas šulinys.
Savanorių pr., Pramonės pr., Partizanų g. tikrinami gaisriniai hidrantai.  
Partizanų g. 48, 68, Užliedžių g., Marių g. 7, S. Daukanto g. 8 valomi šuliniai.
Partizanų g. 48, 68, Užliedžių g., Marių g. 7, Daukanto g. 8 tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai. 
Pramonės pr. 25 remontuojamas lietaus nuotekų tinklo šulinys.
Ukmergės g. 16  remontuojamas buitinių nuotekų tinklo šulinys, tvarkoma įgriuva.",Elementas,Lists/darbai
2018-12-19,"​Dėl  vandentiekio linijos remonto darbų gruodžio 19 d. nuo 8 val. iki 11 val. laikinai nutrauktas vandens tiekimas Savanorių pr. Nr. 60. Atnaujinus vandens tiekimą gali pablogėti vandens kokybė.
P. Plechavičiaus g. 17 remontuojama vandentiekio linija.
Tauragės g. 8 remontuojamas vandens apskaitos mazgas.
A. Juozapavičiaus pr. 7 tikrinami vandentiekio tinklai, tikslinama vandens nutekėjimo vieta.
A. Juozapavičiaus pr. 56, Energetikų g.48, Maironio g. 14, Technikos g. 24 remontuojami šuliniai, keičiamas liukas ir  dangtis.
Nemuno g. 12 (Rokai), Volungių g. 6 (Domeikava), S. Daukanto g. 8, Veršvos g. 2, R. Kalantos g. 10, Bitininkų g. 31, P. Kalpoko g. 31 tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.",Elementas,Lists/darbai
2018-12-18,"​Dėl vandentiekio sklendės keitimo darbų, gruodžio 18 d. nuo 13 val. iki 17 val. laikinai nutraukiamas vandens tiekimas Aukštaičių g. 42, 43, 44, 45, 46, Kauko al. 20, 22, 24. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
 E. Fryko g. 8, Ukmergės g. 14 remontuojamos vandentiekio linijos.  
Žalgirio g. 9 (Ringaudai) keičiama vandentiekio sklendė.
 Breslaujos g. tikrinamos vandentiekio sklendės.
Kovo 11-osios g., V. Krėvės pr. vandentiekio linijoje atnaujinamas vandens tiekimas. 
M. Daukšos g. 20, 20A, 20B  tinkluose ir įvaduose matuojamas vandens slėgis.
 Universiteto g. 2, Partizanų g. 48, Užnerio g. 57 valomi šuliniai.  
Laisvės al. 33 remontuojamas buitinių nuotekų tinklas.
 Vievio g. 35, Vasarvietės g.13M  gavus prašymą nutraukiamas vandens tiekimas.
Kuzmos g. 6, Universiteto g. 2, Partizanų g. 48, Bitininkų g. 31, Užnerio g. 57, Vytėnų g. 23, J. Basanavičiaus al. 53 tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.",Elementas,Lists/darbai
2018-12-17,"​Dėl vandentiekio linijos avarijos, gruodžio 17 d. nuo 12 val. iki 17 val.  laikinai nutraukiamas vandens tiekimas Akademijos miesteliui - Tako g., Pilėnų g., Mokyklos g., sodų bendrijai. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
Dėl vandentiekio rekonstrukcijos darbų, gruodžio 18 d. nuo 19 val. iki 23 val. laikinai nutraukiamas vandens tiekimas - atkarpoje nuo K. Griniaus g. iki Varnių g. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.  
Breslaujos g. 2 remontuojama vandentiekio linija.
Neries krantinė, Radvilėnų pl. 21 tikrinamos vandentiekio sklendės.  
Bitininkų g. 31, Partizanų g. 48, Panerių g. 43, Veiverių g. 107 valomi ir remontuojami šuliniai.
Kaišiadorių g.10, Tilvikų takas Nr. 25 tikrinami tinklai.  
V. Krėvės pr. 26, Maironio g. 14, Bitininkų g. 31, Partizanų g. 48, Panerių g. 43 tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.",Elementas,Lists/darbai
