,,,,,Balanso forma,
,,,,,,
,,,"UAB ""Kauno vandenys""",,,
,,,(įmonės pavadinimas),,,
,,,,,,
,132751369,,"Kaunas, Aukštaičių g. 43",,,
,,,"(įmonės kodas, adresas, kiti duomenys)",,,
,,,,,,
,,,,,,
,,,,, (Tvirtinimo žyma) ,
,,,,,,
,,,,,,
2013 m. gruodžio  31 d. BALANSAS,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,2013 metai,,,, tūkst. Lt ,
,(ataskaitinis laikotarpis),,, (ataskaitos tikslumo lygis ir valiuta ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,TURTAS,,,Pastabos Nr., Finansiniai metai  , Praėję finansiniai metai  
,,,,,,
A.,ILGALAIKIS TURTAS,,,, 585035 , 582173 
I.,NEMATERIALUSIS TURTAS,,,3, 208 , 199 
  I.1.,Plėtros darbai,,,,,
  I.2.,Prestižas,,,,,
  I.3.,"Patentai, licencijos",,,, 200 , 103 
  I.4.,Programinė įranga,,,, 3 , 75 
  I.5.,Kitas nematerialusis turtas,,,, 5 , 21 
II.,MATERIALUSIS TURTAS,,,4, 583847 , 580973 
  II.1.,Žemė,,,,,
  II.2.,Pastatai ir statiniai,,,, 69448 , 69765 
  II.3.,Mašinos ir įrengimai,,,, 194514 , 202371 
  II.4.,Transporto priemonės,,,, 1424 , 1040 
  II.5.,"Kita įranga, prietaisai, įrankiai ir įrenginiai",,,, 264938 , 262830 
  II.6.,Nebaigta statyba,,,4, 51523 , 42642 
  II.7.,Kitas  materialusis turtas,,,, 185 , 491 
  II.8.,Investicinis turtas,,,, 1815 , 1834 
  II.8.1.,Žemė,,,,,
  II.8.2.,Pastatai ,,,, 1815 , 1834 
III.,FINANSINIS TURTAS,,,5, 980 , 1001 
 III.1.,Investicijos į dukterines ir asocijuotas įmones,,,,,
 III.2.,Paskolos asocijuotoms ir dukterinėms įmonėms,,,,,
 III.3.,Po vienerių metų gautinos sumos,,,,,
 III.4.,Kitas finansinis turtas,,,, 980 , 1001 
IV.,KITAS ILGALAIKIS TURTAS,,,, -   , -   
 IV.1.,Atidėtojo mokesčio turtas,,,,,
 IV.2.,Kitas ilgalaikis turtas,,,,,
B.,TRUMPALAIKIS TURTAS,,,, 30963 , 29625 
I.,"ATSARGOS, IŠANKSTINIAI APMOKĖJIMAI IR NEBAIGTOS VYKDYTI SUTARTYS",,,, 899 , 862 
 I.1.,Atsargos,,,6, 787 , 771 
  I.1.1.,Žaliavos ir komplektavimo gaminiai,,,, 787 , 771 
  I.1.2.,Nebaigta gamyba,,,,,
  I.1.3.,Pagaminta produkcija,,,,,
  I.1.4.,"Pirktos prekės, skirtos perparduoti",,,,,
  I.1.5.,"Ilgalaikis materialusis turtas, skirtas parduoti",,,,,
 I.2.,Išankstiniai apmokėjimai,,,, 112 , 91 
 I.3.,Nebaigtos vykdyti sutartys,,,,,
II.,PER VIENERIUS METUS GAUTINOS SUMOS,,,, 13204 , 11438 
 II.1.,Pirkėjų įsiskolinimas,,,7, 10999 , 10096 
 II.2.,Dukterinių ir asocijuotų įmonių skolos,,,,,
 II.3.,Kitos gautinos sumos,,,8, 2205 , 1342 
III.,KITAS TRUMPALAIKIS TURTAS,,,9, 5755 , 5863 
 III.1.,Trumpalaikės investicijos,,,,,
 III.2.,Terminuoti indėliai,,,, 5755 , 5799 
 III.3.,Kitas trumpalaikis turtas,,,,, 64 
IV.,PINIGAI IR PINIGŲ EKVIVALENTAI,,,10, 11105 , 11462 
,TURTO IŠ VISO:,,,, 615998 , 611798 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,NUOSAVAS KAPITALAS IR ĮSIPAREIGOJIMAI,,,Pastabos Nr., Finansiniai metai    , Praėję finansiniai metai 
,,,,,,
C.,NUOSAVAS KAPITALAS,,,, 383320 , 379361 
I.,KAPITALAS,,,1, 383339 , 381502 
 I.1.,Įstatinis (pasirašytasis),,,, 383339 , 381502 
 I.2.,Pasirašytasis neapmokėtas kapitalas (-),,,,,
 I.3.,Akcijų priedai,,,,,
 I.4.,Savos akcijos (-),,,,,
II.,PERKAINOJIMO REZERVAS (REZULTATAI),,,,,
III.,REZERVAI,,,11, 106 , -   
 III.1.,Privalomasis,,,, 106 ,
 III.2.,Savoms akcijoms įsigyti,,,,,
