,,,,,Balanso forma,
,,,,,,
"UAB ""Kauno vandenys""",,,,,,
,,,(įmonės pavadinimas),,,
,,,,,,
"132751369, Kaunas, Aukštaičių g. 43",,,,,,
,,,"(įmonės kodas, adresas, kiti duomenys)",,,
,,,,,,
,,,,,,
,,,,, (Tvirtinimo žyma) ,
,,,,,,
,,,,,,
2014 m. gruodžio  31 d. BALANSAS,,,,,,
,,,,,,
,,,,,,
2014 metai,,,, tūkst.Lt ,,
(ataskaitinis laikotarpis),,,, (ataskaitos tikslumo lygis ir valiuta) ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,TURTAS,,,Pastabos Nr., Finansiniai metai  , Praėję finansiniai metai  
,,,,,,
A.,ILGALAIKIS TURTAS,,,, 586940 , 585035 
I.,NEMATERIALUSIS TURTAS,,,3, 270 , 208 
  I.1.,Plėtros darbai,,,,,
  I.2.,Prestižas,,,,,
  I.3.,"Patentai, licencijos",,,, 168 , 200 
  I.4.,Programinė įranga,,,, 102 , 3 
  I.5.,Kitas nematerialusis turtas,,,,, 5 
II.,MATERIALUSIS TURTAS,,,4, 585720 , 583847 
  II.1.,Žemė,,,,,
  II.2.,Pastatai ir statiniai,,,, 70733 , 71052 
  II.3.,Mašinos ir įrengimai,,,, 188206 , 194514 
  II.4.,Transporto priemonės,,,, 1336 , 1424 
  II.5.,"Kita įranga, prietaisai, įrankiai ir įrenginiai",,,, 255006 , 264938 
  II.6.,Nebaigta statyba,,,4, 70157 , 51523 
  II.7.,Kitas  materialusis turtas,,,, 282 , 396 
  II.8.,Investicinis turtas,,,, -   , -   
  II.8.1.,Žemė,,,,,
  II.8.2.,Pastatai ,,,,,
III.,FINANSINIS TURTAS,,,5, 950 , 980 
 III.1.,Investicijos į dukterines ir asocijuotas įmones,,,,,
 III.2.,Paskolos asocijuotoms ir dukterinėms įmonėms,,,,,
 III.3.,Po vienerių metų gautinos sumos,,,,,
 III.4.,Kitas finansinis turtas,,,, 950 , 980 
IV.,KITAS ILGALAIKIS TURTAS,,,, -   , -   
 IV.1.,Atidėtojo mokesčio turtas,,,,,
 IV.2.,Kitas ilgalaikis turtas,,,,,
B.,TRUMPALAIKIS TURTAS,,,, 37845 , 30963 
I.,"ATSARGOS, IŠANKSTINIAI APMOKĖJIMAI IR NEBAIGTOS VYKDYTI SUTARTYS",,,, 980 , 899 
 I.1.,Atsargos,,,6, 884 , 787 
  I.1.1.,Žaliavos ir komplektavimo gaminiai,,,, 884 , 787 
  I.1.2.,Nebaigta gamyba,,,,,
  I.1.3.,Pagaminta produkcija,,,,,
  I.1.4.,"Pirktos prekės, skirtos perparduoti",,,,,
  I.1.5.,"Ilgalaikis materialusis turtas, skirtas parduoti",,,,,
 I.2.,Išankstiniai apmokėjimai,,,, 96 , 112 
 I.3.,Nebaigtos vykdyti sutartys,,,,,
II.,PER VIENERIUS METUS GAUTINOS SUMOS,,,, 13090 , 13204 
 II.1.,Pirkėjų įsiskolinimas,,,7, 11339 , 10999 
 II.2.,Dukterinių ir asocijuotų įmonių skolos,,,,,
 II.3.,Kitos gautinos sumos,,,8, 1751 , 2205 
III.,KITAS TRUMPALAIKIS TURTAS,,,9, 5765 , 5755 
 III.1.,Trumpalaikės investicijos,,,,,
 III.2.,Terminuoti indėliai,,,, 5765 , 5755 
 III.3.,Kitas trumpalaikis turtas,,,,,
IV.,PINIGAI IR PINIGŲ EKVIVALENTAI,,,10, 18010 , 11105 
,TURTO IŠ VISO:,,,, 624785 , 615998 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,NUOSAVAS KAPITALAS IR ĮSIPAREIGOJIMAI,,,Pastabos Nr., Finansiniai metai    , Praėję finansiniai metai 
,,,,,,
C.,NUOSAVAS KAPITALAS,,,, 394134 , 383320 
I.,KAPITALAS,,,1, 385909 , 383339 
 I.1.,Įstatinis (pasirašytasis),,,, 385909 , 383339 
 I.2.,Pasirašytasis neapmokėtas kapitalas (-),,,,,
 I.3.,Akcijų priedai,,,,,
 I.4.,Savos akcijos (-),,,,,
II.,PERKAINOJIMO REZERVAS (REZULTATAI),,,,,
III.,REZERVAI,,,11, 412 , 106 
 III.1.,Privalomasis,,,, 412 , 106 
 III.2.,Savoms akcijoms įsigyti,,,,,
