,,,,,Balanso forma,,,,,,,,,,
,,,"UAB ""Kauno vandenys"", 132751369",,,,,,,,,,,,
,,,"(įmonės teisinė forma, pavadinimas, kodas)",,,,,,,,,,,,
"Kaunas, Aukštaičių g.43, duomenys apie įmonę kaupiami ir saugomi LR Juridinių asmenų registre",,,,,,,,,,,,,,,
,,,"(buveinė (adresas), registras, kuriame kaupiami ir saugomi duomenys)",,,,,,,,,,,,
,,,,, (Tvirtinimo žyma) ,,,,,,,,,,
2017 M. GRUODŽIO 31 D. BALANSAS,,,,,,,,,,,,,,,
               2018 02 28          Nr. _____,,,,,,,,,,,,,,,
(ataskaitos sudarymo data),,,,,,,,,,,,,,,
2017 01 01 - 2017 12 31,,,,, Eurais ,,,,,,,,,,
,(ataskaitinis laikotarpis),,, (ataskaitos tikslumo lygis ir valiuta ,,,,,,,,,,,
,,,,,,,,,,,,,,,
Eil. Nr.,Straipsniai,,,Pastabos Nr., Ataskaitinis laikotarpis , Praėjęs ataskaitinis laikotarpis ,,,,,,,,,
,,,,,,,,,,,,,,,
,TURTAS,,,,,,,,,,,,,,
A.,ILGALAIKIS TURTAS,,,, 159666749 , 165315174 ,,,,,,,,,
1.,NEMATERIALUSIS TURTAS,,,3, 328003 , 172969 ,,,,,,,,,
 1.1.,Plėtros darbai,,,,,,,,,,,,,,
 1.2.,Prestižas,,,,,,,,,,,,,,
 1.3.,Programinė įranga,,,, 230284 , 97726 ,,,,,,,,,
 1.4.,"Koncesijos, patentai, licencijos, prekių ženklai ir panašios teisės",,,, 97563 , 74944 ,,,,,,,,,
 1.5.,Kitas nematerialusis turtas,,,, 156 , 299 ,,,,,,,,,
 1.6.,Sumokėti avansai,,,,,,,,,,,,,,
2.,MATERIALUSIS TURTAS,,,4, 159338746 , 165142205 ,,,,,,,,,
 2.1.,Žemė,,,, 100 ,,,,,,,,,,
 2.2.,Pastatai ir statiniai,,,, 23033108 , 23659644 ,,,,,,,,,
 2.3.,Mašinos ir įranga,,,, 53297368 , 56277022 ,,,,,,,,,
 2.4.,Transporto priemonės,,,, 565145 , 675644 ,,,,,,,,,
 2.5.,"Kiti įrenginiai, prietaisai ir įrankiai",,,, 80081619 , 83309478 ,,,,,,,,,
 2.6.,Investicinis turtas,,,, -   , -   ,,,,,,,,, 
  2.6.1.,Žemė,,,,,,,,,,,,,,
  2.6.2.,Pastatai ,,,,,,,,,,,,,,
 2.7.,Sumokėti avansai ir vykdomi materialio turto statybos (gamybos) darbai,,,4, 2361406 , 1220417 ,,,,,,,,,
3.,FINANSINIS TURTAS,,,, -   , -   ,,,,,,,,,
 3.1.,Įmonių grupės įmonių akcijos,,,,,,,,,,,,,,
 3.2.,Paskolos įmonių grupės įmonėms,,,,,,,,,,,,,,
 3.3.,Iš įmonių grupės įmonių gautinos sumos ,,,,,,,,,,,,,,
 3.4.,Asocijuotųjų įmonių akcijos,,,,,,,,,,,,,,
 3.5.,Paskolos asocijuotosioms įmonėms ,,,,,,,,,,,,,,
 3.6.,Iš asocijuotųjų įmonių gautinos sumos ,,,,,,,,,,,,,,
 3.7.,Ilgalaikės investicijos,,,,,,,,,,,,,,
 3.8.,Po vienų metų gautinos sumos ,,,,,,,,,,,,,,
 3.9.,Kitas finansinis turtas,,,,,,,,,,,,,,
4.,KITAS ILGALAIKIS TURTAS,,,, -   , -   ,,,,,,,,,
 4.1.,Atidėtojo pelno mokesčio turtas,,,,,,,,,,,,,,
 4.2.,Biologinis turtas,,,,,,,,,,,,,,
 4.3.,Kitas turtas,,,,,,,,,,,,,,
B.,TRUMPALAIKIS TURTAS,,,, 13267946 , 11556969 ,,,,,,,,,
1.,ATSARGOS,,,, 96637 , 143520 ,,,,,,,,,
 1.1.,"Žaliavos, medžiagos ir komplektavimo detalės ",,,5, 94009 , 132910 ,,,,,,,,,
 1.2.,Nebaigta produkcija ir vykdomi darbai ,,,,,,,,,,,,,,
 1.3.,Produkcija,,,,,,,,,,,,,,
 1.4.,"Pirktos prekės, skirtos perparduoti",,,,,,,,,,,,,,
 1.5.,Biologinis turtas,,,,,,,,,,,,,,
 1.6.,"Ilgalaikis materialusis turtas, skirtas parduoti",,,,,,,,,,,,,,
 1.7.,Sumokėti avansai ,,,, 2628 , 10610 ,,,,,,,,,
2.,PER VIENUS METUS GAUTINOS SUMOS ,,,, 3430131 , 3600731 ,,,,,,,,,
 2.1.,Pirkėjų skolos ,,,6, 3427827 , 3571327 ,,,,,,,,,
 2.2.,Įmonių grupės įmonių skolos ,,,,,,,,,,,,,,
 2.3.,Asocijuotųjų įmonių skolos,,,,,,,,,,,,,,
 2.4.,Kitos gautinos sumos ,,,, 2304 , 29404 ,,,,,,,,,
3.,TRUMPALAIKĖS INVESTICIJOS,,,, -   , -   ,,,,,,,,,
 3.1.,Įmonių grupės įmonių akcijos,,,,,,,,,,,,,,
 3.2.,Kitos investicijos ,,,,,,,,,,,,,,
4.,PINIGAI IR PINIGŲ EKVIVALENTAI,,,7, 9741178 , 7812718 ,,,,,,,,,
C.,ATEINANČIŲ LAIKOTARPIŲ SĄNAUDOS IR SUKAUPTOS PAJAMOS,,,8, 407817 , 346175 ,,,,,,,,,
,TURTO IŠ VISO,,,, 173342512 , 177218318 ,,,,,,,,,
,NUOSAVAS KAPITALAS IR ĮSIPAREIGOJIMAI,,,,,,,,,,,,,,
D.,NUOSAVAS KAPITALAS,,,, 116511309 , 116066499 ,,,,,,,,,
1.,KAPITALAS,,,, 111759333 , 111759333 ,,,,,,,,,
 1.1.,Įstatinis (pasirašytasis) arba pagrindinis kapitalas,,,, 111759333 , 111759333 ,,,,,,,,,
