,,,,
,,,,
,"UAB "" KAUNO VANDENYS""",,,
,(įmonės pavadinimas),,,
,,,,
,,,,
,"Įmonės kodas 132751369,  Kaunas, Aukštaičių  g.43",,,
,"(įmonės kodas, adresas, kiti duomenys)",,,
,,,,
,,,,
,,,,
PELNO (NUOSTOLIŲ) ATASKAITA,,,,
,            ,,,
,,,,
2015 m. gruodžio 31 d.,,,,
,, Eurais ,,
,,,,
Eil.nr.,STRAIPSNIAI,Pastabos Nr.,Finansiniai  metai ,Praėję finansiniai  metai 
I.,PARDAVIMO PAJAMOS,, 21874822 , 20730491 
II.,PARDAVIMO SAVIKAINA,18, 18044198 , 17217215 
III.,BENDRASIS PELNAS (NUOSTOLIAI),, 3830624 , 3513276 
IV.,VEIKLOS SĄNAUDOS,, 2120725 , 2109329 
  IV.1,    Pardavimo,,,
  IV.2,    Bendrosios ir administracinės,19, 2120725 , 2109329 
V.,TIPINĖS VEIKLOS PELNAS (NUOSTOLIAI),, 1709899 , 1403947 
VI.,KITA VEIKLA,20, 178613 , 242235 
  VI.1.,    Pajamos,, 493404 , 898215 
  VI.2.,    Sąnaudos,, 314791 , 655980 
VII.,FINANSINĖ IR INVESTICINĖ VEIKLA,21, (508135), 744349 
  VII.1.,    Pajamos,, 46935 , 1022589 
  VII.2.,    Sąnaudos,, 555070 , 278240 
VIII.,ĮPRASTINĖS VEIKLOS PELNAS (NUOSTOLIAI),, 1380377 , 2390531 
IX.,PAGAUTĖ,,,
X.,NETEKIMAI,,,
XI.,PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ,, 1380377 , 2390531 
XII.,PELNO MOKESTIS,22, 211439 , 2876 
XIII.,GRYNASIS PELNAS (NUOSTOLIAI),, 1168938 , 2387655 
,,,,
,,,,
,Generalinis direktorius,,,Linas Baltrėnas
,,,,
,,,,
,Vyriausioji finansininkė,,, Daiva Vėberienė 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,, . ,
