,,,,
,,Pelno (nuostolių) ataskaitos forma,,
,,,,
,,,,
"UAB ""Kauno vandenys"", 132751369",,,,
"(įmonės teisinė forma, pavadinimas, kodas)",,,,
,,,,
"Kaunas, Aukštaičių g.43, duomenys apie įmonę kaupiami ir saugomi LR Juridinių asmenų registre",,,,
"(buveinė (adresas), registras, kuriame kaupiami ir saugomi duomenys)",,,,
,,,,
,,,,
,,,,
,,, (Tvirtinimo žyma) ,
,,,,
,,,,
2016 M. GRUODŽIO 31 D. PELNO (NUOSTOLIŲ) ATASKAITA,,,,
2017 03 06  Nr. _____,,,,
(ataskaitos sudarymo data),,,,
,,,,
,2016 01 01 -  2016 12 31,, Eurais ,
,(ataskaitinis laikotarpis),,(ataskaitos tikslumo lygis ir valiuta),
Eil. Nr.,Straipsniai,Pastabos Nr., Ataskaitinis laikotarpis , Praėjęs ataskaitinis laikotarpis  
1.,Pardavimo pajamos ,, 22906625 , 21874822 
2.,Pardavimo savikaina,16, (18983414), (18044198)
3.,Biologinio turto tikrosios vertės pokytis ,,,
4.,BENDRASIS PELNAS (NUOSTOLIAI),, 3923211 , 3830624 
5.,Pardavimo sąnaudos,,,
6.,Bendrosios ir administracinės sąnaudos,17, (2539496), (2120725)
7.,Kitos veiklos rezultatai,18, 75414 , 178613 
8.,"Investicijų į patronuojančiosios, patronuojamųjų ir asocijuotųjų įmonių akcijas pajamos",,,
9.,Kitų ilgalaikių investicijų ir paskolų pajamos,,,
10.,Kitos palūkanų ir panašios pajamos,19, 375437 , 46935 
11.,Finansinio turto ir trumpalaikių investicijų vertės sumažėjimas,,,
12.,Palūkanų ir kitos panašios sąnaudos,19, (224523), (555070)
13.,PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ,, 1610043 , 1380377 
14.,Pelno mokestis,20, (238922), (211439)
15.,GRYNASIS PELNAS (NUOSTOLIAI),, 1371121 , 1168938 
Pastaba. Biologinio turto tikrosios vertės pokyčio eilutėje tikrosios vertės sumažėjimas rodomas skliaustuose arba su minuso ,,,,
"ženklu. Sąnaudos, t. y. grynąjį pelną mažinanti suma, įrašomos skliaustuose arba su minuso ženklu.",,,,
,,,,
,L.e. generalinio direktoriaus pareigas, _______________ ,,Vilius Burokas
(įmonės vadovo pareigų pavadinimas),, (parašas) ,,(vardas ir pavardė)
,,,,
,Vyriausioji finansininkė, _______________ ,,Daiva Vėberienė
(vyriausiojo buhalterio (buhalterio) arba galinčio ,, (parašas) ,,(vardas ir pavardė)
tvarkyti apskaitą kito asmens pareigų pavadinimas),,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,, . ,
