,,,,
,,,,
,"UAB "" KAUNO VANDENYS""",,,
,(įmonės pavadinimas),,,
,,,,
,,,,
,"Įmonės kodas 132751369,  Kaunas, Aukštaičių  g. 43",,,
,"(įmonės kodas, adresas, kiti duomenys)",,,
,,,,
,,,,
,,,,
2014 m. gruodžio 31 d. PELNO (NUOSTOLIŲ) ATASKAITA,,,,
,            ,,,
,,,,
,2014 metai, tūkst.Lt ,,
,,,,
,,,,
Eil.nr.,STRAIPSNIAI,Pastabos Nr.,Finansiniai  metai , Praėję finansiniai metai  
I.,PARDAVIMO PAJAMOS,, 71578 , 69823 
II.,PARDAVIMO SAVIKAINA,18, 59447 , 59415 
III.,BENDRASIS PELNAS (NUOSTOLIAI),, 12131 , 10408 
IV.,VEIKLOS SĄNAUDOS,, 7283 , 7806 
  IV.1,    Pardavimo,,,
  IV.2,    Bendrosios ir administracinės,19, 7283 , 7806 
V.,TIPINĖS VEIKLOS PELNAS (NUOSTOLIAI),, 4848 , 2602 
VI.,KITA VEIKLA,20, 836 , 1315 
  VI.1.,    Pajamos,, 3101 , 3437 
  VI.2.,    Sąnaudos,, 2265 , 2122 
VII.,FINANSINĖ IR INVESTICINĖ VEIKLA,21, 2570 , (1041)
  VII.1.,    Pajamos,, 3531 , 147 
  VII.2.,    Sąnaudos,, 961 , 1188 
VIII.,ĮPRASTINĖS VEIKLOS PELNAS (NUOSTOLIAI),, 8254 , 2876 
IX.,PAGAUTĖ,,,
X.,NETEKIMAI,,,
XI.,PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ,, 8254 , 2876 
XII.,PELNO MOKESTIS,22, 10 , 754 
XIII.,GRYNASIS PELNAS (NUOSTOLIAI),, 8244 , 2122 
,,,,
,,,,
,Generalinis direktorius,,,Linas Baltrėnas
,,,,
,,,,
,Vyriausioji finansininkė,,, Daiva Vėberienė 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,, . ,
