,,"UŽDAROJI AKCINĖ BENDROVĖ ""KAUNO VANDENYS"" ",,,
,,,,,
,,GERIAMOJO VANDENS TIEKĖJŲ VYKDOMOS   GERIAMOJO       ,,,
,, VANDENS PROGRAMINĖS PRIEŽIŪROS KOKYBĖS VERČIŲ ATASKAITA   ,,,
,,, 2016 M.,,
,,,EIGULIŲ VANDENVIETĖ,,
,,Geriamojo vandens kiekis m3/d    8135      ,, Gyventojų skaičius       55532,
,,Vandens šaltiniai %  nuo viso kiekio ,,Požeminis vanduo 100%,
,,,,,
,, Bendra informacija apie geriamojo vandens kokybės vertes,,,
,Eil. Nr. ,Rodiklio pavadinimas,"Mato
 vienetas","Reikalaujama rodiklio
 vertė",Esama rodiklio vertė (min - max)
,1,2,3,4,5
,,Mikrobiniai rodikliai,,,
,1,Žarninės lazdelės (Escherichia coli),"Skaičius 100 ml
 vandens",0,0
,2,Žarniniai enterokokai,Skaičius 100 ml vandens,0,0
,,Toksiniai (cheminiai) rodikliai,,,
,3,Stibis,µg/l ,"5,0",<1
,4,Arsenas,µg/l ,10,"0,2-0,35"
,5,Benzenas,µg/l ,"1,0","<0,1"
,6,Benzpirenas,µg/l ,"0,010","<0,002"
,7,Boras,mg/l ,"1,0","<0,08"
,8,Bromatas,µg/l ,10,"<0,01"
,9,Kadmis,µg/l ,"5,0","<0,1"
,10,Chromas,µg/l ,50,"0,2-0,77"
,11,Varis,mg/l ,"2,0","0,01-0,024"
,12,Cianidas,µg/l ,50,"<0,01"
,13,"1,2-dichloretanas",µg/l ,"3,0","<2,0"
,14,Fluoridas,mg/l ,"1,5","0,19-0,22"
,15,Švinas,µg/l ,10,"<0,1"
,16,Gyvsidabris,µg/l ,"1,0","<0,01"
,17,Nikelis,µg/l ,20,"<1,0"
,18,Nitratas,mg/l ,50,"2,4-3,6"
,19,Nitritas vandens tiekimo įmonėje,mg/l ,"0,10","0,01--0,02"
,20,"Nitritas vandens tiekimo sistemoje, iš vartotojų čiaupo",mg/l ,"0,50","0,02"
,21,Pesticidų suma ,µg/l ,"0,50","<0,01"
,22,Daugiacikliniai aromatiniai angliavandeniliai,µg/l ,"0,10","<0,02"
,23,Selenas,µg/l ,10,"<1,0"
,24,Tetrachloretenas ir  trichloretenas,µg/l ,10,"<0,10"
,25,Haloformų suma,µg/l ,100,"<0,4"
,,Pesticidai,,,
,26,Aldrinas,µg/l ,"0,030","<0,005"
,27,Dieldrinas,µg/l ,"0,030","<0,005"
,28,Heptachloras,µg/l ,"0,030","<0,005"
,29,Heptachlorepoksidas,µg/l ,"0,030","<0,005"
,30,Kiti pesticidai,µg/l ,"0,10","<0,01"
,,,,,
,Eil. Nr. ,Rodiklio pavadinimas,"Mato
 vienetas","Reikalaujama rodiklio
 vertė",Esama rodiklio vertė             (min - max)
,,Indikatoriniai rodikliai,,,
,31,Aliuminis,µg/l ,200,
,32,Amonis,mg/l ,"0,50","0,01-0,06"
,33,Chloridas,mg/l ,250,29-50
,34,Savitasis elektrinis laidis,µgS cm-1 20 0C temperatūroje,2500,499-658
,35,Vandenilio jonų koncentracija,pH vienetai,"6,5-9,5","7,4-7,9"
,36,Bendroji geležis,µg/l ,200,10-114
,37,Manganas,µg/l ,50,22--42
,38,Permanganato skaičius,mg/l O2,"5,0","2,0-2,8"
,39,Sulfatas,mg/l ,250,20-35
,40,Natris,mg/l ,200,18
,41,Koliforminės bakterijos,Skaičius 100 ml vandens,0,0
,42,Tričio tūrinis aktyvumas,Bq / l,100,"<13,39"
,43,Visuminis alfa aktyvumas,Bq / l,"0,10","<0,10"
,44,Visuminis beta aktyvumas,Bq / l,"1,0","<1,0"
,45,Indikacinė dozė,mSv,"0,10","<0,10"
,46,Spalva ,mg/l Pt,30,Bir-07
,47,Kvapo slenkstis , - ,Priimtinas vartotojams ir be nebūdingų pokyčių,Priimtinas vartotojams ir be nebūdingų pokyčių
,48,Skonio slenkstis , - ,Priimtinas vartotojams ir be nebūdingų pokyčių,Priimtinas vartotojams ir be nebūdingų pokyčių
,49,Kolonijas sudarantys vienetai 22 °C temperatūroje ,Skaičius 1 ml vandens,Be nebūdingų pokyčių,Be nebūdingų pokyčių
,50,Bendroji organinė anglis,mg/l ,Be nebūdingų pokyčių,"4,1"
,51,Drumstumas ,DV pagal formaziną,4,"0,1-0,6"
,52,Bendras kiektumas,mmol/l,nenormuojama,"2,5-3,3"
,,,,,
,"Ženklas "" < "" reiškia, kad vertė yra žemiau nustatymo ribos",,,,
