,,"UŽDAROJI AKCINĖ BENDROVĖ ""KAUNO VANDENYS"" ",,,
,,,,,
,,GERIAMOJO VANDENS TIEKĖJŲ VYKDOMOS  GERIAMOJO       ,,,
,, VANDENS PROGRAMINĖS PRIEŽIŪROS KOKYBĖS VERČIŲ ATASKAITA   ,,,
,,,  2016 M.,,
,,,PETRAŠIŪNŲ VANDENVIETĖ,,
,,Geriamojo vandens kiekis m3/d    32727      ,, Gyventojų skaičius       192688,
,,Vandens šaltiniai %  nuo viso kiekio: ,,Požeminis vanduo 100%,
,,,,,
,, Bendra informacija apie geriamojo vandens kokybės vertes,,,
,Eil. Nr. ,Rodiklio pavadinimas,"Mato
 vienetas","Reikalaujama rodiklio
 vertė",Esama rodiklio vertė             (min - max)
,1,2,3,4,5
,,Mikrobiniai rodikliai,,,
,1,Žarninės lazdelės (Escherichia coli),"Skaičius 100 ml
 vandens",0,0
,2,Žarniniai enterokokai,Skaičius 100 ml vandens,0,0
,,Toksiniai (cheminiai) rodikliai,,,
,3,Stibis,µg/l ,"5,0","<0,2"
,4,Arsenas,µg/l ,10,"2,5-6,7"
,5,Benzenas,µg/l ,"1,0","<1,0"
,6,Benzpirenas,µg/l ,"0,010","<0,002"
,7,Boras,mg/l ,"1,0","<0,08"
,8,Bromatas,µg/l ,10,"<0,4"
,9,Kadmis,µg/l ,"5,0","<1,0"
,10,Chromas,µg/l ,50,"0,2-0,5"
,11,Varis,mg/l ,"2,0","0,002-0,013"
,12,Cianidas,µg/l ,50,"<0,01"
,13,"1,2-dichloretanas",µg/l ,"3,0","<2,0"
,14,Fluoridas,mg/l ,"1,5","0,19-0,22"
,15,Švinas,µg/l ,10,"<1,0"
,16,Gyvsidabris,µg/l ,"1,0","<0,1"
,17,Nikelis,µg/l ,20,"1,0-1,1"
,18,Nitratas,mg/l ,50,"1,8-2,1"
,19,Nitritas vandens tiekimo įmonėje,mg/l ,"0,10","0,01-0,04"
,20,"Nitritas vandens tiekimo sistemoje, iš vartotojų čiaupo",mg/l ,"0,50","<0,01"
,21,Pesticidų suma ,µg/l ,"0,50","<0,01"
,22,Daugiacikliniai aromatiniai angliavandeniliai,µg/l ,"0,10","<0,02"
,23,Selenas,µg/l ,10,"<0,1"
,24,Tetrachloretenas ir  trichloretenas,µg/l ,10,"<0,1"
,25,Haloformų suma,µg/l ,100,"5,0-7,01"
,,Pesticidai,,,
,26,Aldrinas,µg/l ,"0,030","<0,01"
,27,Dieldrinas,µg/l ,"0,030","<0,01"
,28,Heptachloras,µg/l ,"0,030","<0,01"
,29,Heptachlorepoksidas,µg/l ,"0,030","<0,01"
,30,Kiti pesticidai,µg/l ,"0,10","<0,01"
,,,,,
,Eil. Nr. ,Rodiklio pavadinimas,"Mato
 vienetas","Reikalaujama rodiklio
 vertė",Esama rodiklio vertė             (min - max)
,,Indikatoriniai rodikliai,,,
,31,Aliuminis,µg/l ,200,<20
,32,Amonis,mg/l ,"0,50","<0,03"
,33,Chloridas,mg/l ,250,18-23
,34,Savitasis elektrinis laidis,µgS cm-1 20 0C temperatūroje,2500,400-488
,35,Vandenilio jonų koncentracija pH,pH vienetai,"6,5-9,5","7,60-7,72"
,36,Bendroji geležis,µg/l ,200,13-31
,37,Manganas,µg/l ,50,5_15
,38,Permanganato skaičius,mg/l O2,"5,0","3,5-4,0"
,39,Sulfatas,mg/l ,250,18-23
,40,Natris,mg/l ,200,"12-12,9"
,41,Koliforminės bakterijos,Skaičius 100 ml vandens,0,0
,42,Tričio tūrinis aktyvumas,Bq / l,100,"<13,32"
,43,Visuminis alfa aktyvumas,Bq / l,"0,10","<0,10"
,44,Visuminis beta aktyvumas,Bq / l,"1,0","<1,0"
,45,Indikacinė dozė,mSv,"0,10","<0,10"
,46,Spalva ,mg/l Pt,30,1 3
,47,Kvapo slenkstis , - ,Priimtinas vartotojams ir be nebūdingų pokyčių,Priimtinas vartotojams ir be nebūdingų pokyčių
,48,Skonio slenkstis , - ,Priimtinas vartotojams ir be nebūdingų pokyčių,Priimtinas vartotojams ir be nebūdingų pokyčių
,49,Kolonijas sudarantys vienetai 22 °C temperatūroje ,Skaičius 1 ml vandens,Be nebūdingų pokyčių,Be nebūdingų pokyčių
,50,Bendroji organinė anglis,mg/l ,Be nebūdingų pokyčių,5
,51,Drumstumas ,DV pagal formaziną,4,"0,3-0,65"
,52,Bendras kietumas,mmol/l,nenormuojama,"2,5-2,8"
,,,,,
,"Ženklas "" < "" reiškia, kad vertė yra žemiau nustatymo ribos",,,,
