,,"UŽDAROJI AKCINĖ BENDROVĖ ""KAUNO VANDENYS"" ",,,
,,,,,
,,GERIAMOJO VANDENS TIEKĖJŲ VYKDOMOS   GERIAMOJO       ,,,
,, VANDENS PROGRAMINĖS PRIEŽIŪROS KOKYBĖS VERČIŲ ATASKAITA   ,,,
,,, 2017 M.,,
,,,VIČIŪNŲ VANDENVIETĖ,,
,,Geriamojo vandens kiekis m3/d    11113     ,, Gyventojų skaičius       71676,
,,Vandens šaltiniai %  nuo viso kiekio: ,,Požeminis vanduo 100%,
,,,,,
,, Bendra informacija apie geriamojo vandens kokybės vertes,,,
,Eil. Nr. ,Rodiklio pavadinimas,"Mato
 vienetas","Reikalaujama rodiklio
 vertė",Esama rodiklio vertė             (min - max)
,1,2,3,4,5
,,Mikrobiniai rodikliai,,,
,1,Žarninės lazdelės (Escherichia coli),"Skaičius 100 ml
 vandens",0,0
,2,Žarniniai enterokokai,Skaičius 100 ml vandens,0,0
,,Toksiniai (cheminiai) rodikliai,,,
,3,Stibis,µg/l ,"5,0",<1
,4,Arsenas,µg/l ,10,"1,0-2,36"
,5,Benzenas,µg/l ,"1,0","<0,2"
,6,Benzpirenas,µg/l ,"0,010","<0,01"
,7,Boras,mg/l ,"1,0","0,08-0,09"
,8,Bromatas,µg/l ,10,"<0,2"
,9,Kadmis,µg/l ,"5,0","<0,1"
,10,Chromas,µg/l ,50,"0,2-0,26"
,11,Varis,mg/l ,"2,0","<0,1"
,12,Cianidas,µg/l ,50,"<0,02"
,13,"1,2-dichloretanas",µg/l ,"3,0","<2,2"
,14,Fluoridas,mg/l ,"1,5","0,18-0,22"
,15,Švinas,µg/l ,10,"<1,0"
,16,Gyvsidabris,µg/l ,"1,0","<0,1"
,17,Nikelis,µg/l ,20,"1,2-1,6"
,18,Nitratas,mg/l ,50,"0,76-2"
,19,Nitritas vandens tiekimo įmonėje,mg/l ,"0,10","0,01-0,05"
,20,"Nitritas vandens tiekimo sistemoje, iš vartotojų čiaupo",mg/l ,"0,50","0,01-0,05"
,21,Pesticidų suma ,µg/l ,"0,50","<0,3"
,22,Daugiacikliniai aromatiniai angliavandeniliai,µg/l ,"0,10","<0,03"
,23,Selenas,µg/l ,10,"1-1,32"
,24,Tetrachloretenas ir  trichloretenas,µg/l ,10,"<2,2-2,3"
,25,Haloformų suma,µg/l ,100,"<2,3"
,26,Vinilo chloridas,µg/l ,"0,50","<0,5"
,,Pesticidai,,,
,27,Aldrinas,µg/l ,"0,030","<0,025"
,28,Dieldrinas,µg/l ,"0,030","<0,025"
,29,Heptachloras,µg/l ,"0,030","<0,030"
,30,Heptachlorepoksidas,µg/l ,"0,030","<0,030"
,31,Kiti pesticidai,µg/l ,"0,10","<0,030"
,,,,,
,Eil. Nr. ,Rodiklio pavadinimas,"Mato
 vienetas","Reikalaujama rodiklio
 vertė",Esama rodiklio vertė             (min - max)
,,Indikatoriniai rodikliai,,,
,32,Aliuminis,µg/l ,200,<10
,33,Amonis,mg/l ,"0,50","0,03-0,06"
,34,Chloridas,mg/l ,250,16-39
,35,Savitasis elektrinis laidis,µgS cm-1 20 0C temperatūroje,2500,499-584
,36,Vandenilio jonų koncentracija pH,pH vienetai,"6,5-9,5","7,4-7,9"
,37,Bendroji geležis,µg/l ,200,20-120
,38,Manganas,µg/l ,50,15-221
,39,Permanganato skaičius,mg/l O2,"5,0","2,3-4,4"
,40,Sulfatas,mg/l ,250,12-30
,41,Natris,mg/l ,200,12-15
,42,Koliforminės bakterijos,Skaičius 100 ml vandens,0,0
,43,Tričio tūrinis aktyvumas,Bq / l,100,"<0,8-2,4"
,44,Visuminis alfa aktyvumas,Bq / l,"0,10","<0,10"
,45,Visuminis beta aktyvumas,Bq / l,"1,0","<1,0"
,46,Indikacinė dozė,mSv,"0,10","<0,10"
,47,Spalva ,mg/l Pt,30,10
,48,Kvapo slenkstis , - ,Priimtinas vartotojams ir be nebūdingų pokyčių,Priimtinas vartotojams ir be nebūdingų pokyčių
,49,Skonio slenkstis , - ,Priimtinas vartotojams ir be nebūdingų pokyčių,Priimtinas vartotojams ir be nebūdingų pokyčių
,50,Kolonijas sudarantys vienetai 22 °C temperatūroje ,Skaičius 1 ml vandens,Be nebūdingų pokyčių,Be nebūdingų pokyčių
,51,Bendroji organinė anglis,mg/l ,Be nebūdingų pokyčių,"4,3"
,52,Drumstumas ,DV pagal formaziną,4,"0,19"
,53,Bendras kietumas,mmol/l,nenormuojama,"2,6-3,0"
,,,,,
,"Ženklas "" < "" reiškia, kad vertė yra žemiau nustatymo ribos",,,,
