,,,,,,,,,,,,,,,,,,,,,,
Šilumos suvartojimo ir mokėjimų už šilumą analizė Lietuvos miestų daugiabučiuose gyvenamuosiuose namuose (2017 m. lapkričio mėn),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Pastatų grupės kategorija pagal šilumos suvartojimą,Nr.,Miestas,Vidutinė lauko oro temperatūra,Dieno-laipsniai,Adresas,Namo renovacijos tipas,Butų sk.,Statybos metai,Suvartotas šilumos kiekis pastate:,,,,,,Namo plotas,Apmokestinta šiluma šildymui gyventojams,Butų plotas,Šilumos suvartojimas šildymui,Šilumos kaina gyventojams (su PVM),Mokėjimai už šilumą 1 m² ploto šildymui (su PVM),Šilumos suvartojimas 60 m² ploto buto šildymui,Mokėjimai už šilumą 60 m² ploto buto šildymui (su PVM)
,,,,,,,,,Iš viso,Karštam vandeniui ruošti,Karšto vandens temp. palaikymui,Su nepaskirstytu karštu vandeniu,Bendrosioms reikmėms,Butų ir kitų patalpų šildymui,,,,,,,,
,,,0C,vnt.,,,vnt.,metai,MWh,MWh,MWh,MWh,MWh,MWh,m²,MWh,m²,MWh/m²/mėn,Eur/MWh,Eur/m²/mėn,kWh/mėn,Eur/mėn
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"I. Daugiabučiai suvartojantys mažiausiai šilumos (naujos statybos, kokybiški namai)",1,Kaunas,"3,9",423,Jaunimo 4 (renov.)*,Pilnai renovuotas,64,1987,"4,66","6,05","-1,39",0,0,0,"2419,1",0,"2419,08",0,"53,41",0,0,0
,76,Kaunas,"3,9",423,Ašmenos 1-oji g. 10,,86,2006,"41,51","13,28","1,15",0,0,"27,08","5049,1","27,08","5049,06",536,"53,41","0,29","321,8","17,19"
,120,Kaunas,"3,9",423,Radvilėnų 5),,60,2005,"42,19","18,27","5,74","-10,78",0,"28,95","4933,5","27,86","4747,3",587,"53,41","0,31","352,1","18,8"
,150,Kaunas,"3,9",423,Krėvės 82B,,118,2007,"81,06","18,05","12,26",0,0,"50,75","7726,7","45,79","6972,04",657,"53,41","0,35","394,1","21,05"
,168,Kaunas,"3,9",423,Archyvo 48,,38,2004,"21,68","4,64","-0,07","0,31",0,"16,8","2371,7","16,8","2371,7",708,"53,41","0,38",425,"22,7"
,173,Kaunas,"3,9",423,Karaliaus Mindaugo 7,,18,2006,"17,47","2,5","0,54","0,05",0,"14,38","1988,3","11,48","1587,5",723,"53,41","0,39","433,9","23,18"
,174,Kaunas,"3,9",423,Sukilėlių 87A,,72,2005,"54,25","14,65","0,71","0,19",0,"38,7","5346,2","38,7","5346,21",724,"53,41","0,39","434,3","23,2"
,181,Kaunas,"3,9",423,Geležinio Vilko 1A,,51,2005,"30,02","5,51","0,32",0,0,"24,19","3073,9","23,62","3001,66",787,"53,41","0,42","472,2","25,22"
,184,Kaunas,"3,9",423,Prūsų g. 15,,39,2007,"25,83","5,66","0,96",0,0,"19,21","2368,8","19,21","2368,78",811,"53,41","0,43","486,6","25,99"
,185,Kaunas,"3,9",423,Saulės 3,,22,2006,"18,99","4,28","0,5",0,0,"14,21","1697,8","14,21","1697,77",837,"53,41","0,45","502,1","26,82"
,214,Kaunas,"3,9",423,Vievio 54 (renov.),,38,1990,"22,66","6,43","8,04","-1,49",0,"9,67","2118,6","9,67","2118,57",456,"53,41","0,24","273,9","14,63"
,251,Kaunas,"3,9",423,Krėvės 115 A (renov)**,Pilnai renovuotas,72,1975,"35,73","7,48","3,21",0,0,"25,04","3784,1","25,04","3784,12",662,"53,41","0,35",397,"21,21"
,269,Kaunas,"3,9",423,Kovo 11-osios 114 (renov.),,100,1972,"54,66","10,8","12,71","-0,34",0,"31,5","4425,3","31,5","4425,26",712,"53,41","0,38","427,1","22,81"
,270,Kaunas,"3,9",423,Škirpos K. g. 15 (renov.)***,Pilnai renovuotas,56,1978,"35,63","8,08","1,97","0,18",0,"25,4","3531,4","25,4","3531,43",719,"53,41","0,38","431,6","23,05"
,275,Kaunas,"3,9",423,Krėvės 61 (renov.),,60,1968,"32,35","6,91","7,8","-2,78",0,"20,42","2714,9","20,42","2714,92",752,"53,41","0,4","451,3","24,1"
,276,Kaunas,"3,9",423,Lukšio P. 4 (renov.)***,Pilnai renovuotas,54,1982,"32,19","4,28","1,12",0,0,"26,79","3554,8","26,79","3554,75",754,"53,41","0,4","452,2","24,15"
,305,Kaunas,"3,9",423,Masiulio T. 1 (renov),,20,1959,"12,33","4,06","-0,56",0,"-0,56","8,83","985,6","8,43","941,07",896,"53,41","0,48","537,3","28,7"
,313,Kaunas,"3,9",423,Jėgainės 23 (renov),,12,1956,"7,97","1,56","0,48",0,"0,48","5,93","640,3","5,93","640,27",926,"53,41","0,49","555,4","29,67"
,314,Kaunas,"3,9",423,Sąjungos a. 7 (renov.)***,Pilnai renovuotas,32,1962,"17,06","3,95","-0,13",0,"-0,13","13,24","1419,3","13,24","1419,32",933,"53,41","0,5","559,7","29,89"
,346,Kaunas,"3,9",423,Sąjungos a. 10 (renov.),,63,1960,"14,82","3,71","1,6","-0,25",0,"9,75","938,9","9,75","938,9","1,038","53,41","0,55","623,1","33,28"
,442,Kaunas,"3,9",423,Lukšos-Daumanto 2,,41,1987,"35,46","3,75","7,25","-0,03",0,"24,49","2323,4","17,48","1658,16","1,054","53,41","0,56","632,4","33,78"
,478,Kaunas,"3,9",423,Partizanų 198,,59,1981,"65,64","4,99",14,0,0,"46,66","3418,8","45,8","3356,28","1,365","53,41","0,73","818,8","43,73"
,510,Kaunas,"3,9",423,Šiaurės 101,,57,1982,"74,01","7,53","15,42","-0,34",0,"51,4","3486,1","51,4","3486,09","1,474","53,41","0,79","884,7","47,25"
,517,Kaunas,"3,9",423,Baltų 2,,92,1991,"82,59","8,49","17,85",0,0,"56,25","3724,7","53,6","3549,53","1,51","53,41","0,81","906,1","48,39"
,559,Kaunas,"3,9",423,Pašilės 96,,54,1987,"50,79","5,48","10,69","-0,12",0,"34,75","2179,6","34,75","2179,62","1,594","53,41","0,85","956,6","51,09"
,571,Kaunas,"3,9",423,Lukšio 64,,47,1979,"66,65","9,79","8,86",0,0,48,"2974,9","47,09","2918,26","1,614","53,41","0,86","968,1","51,71"
