,,,,,,,,,,,,,,,,,,,,,,
Šilumos suvartojimo ir mokėjimų už šilumą analizė Lietuvos miestų daugiabučiuose gyvenamuosiuose namuose (2017 m. spalio mėn),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Pastatų grupės kategorija pagal šilumos suvartojimą,Nr.,Miestas,Vidutinė lauko oro temperatūra,Dieno-laipsniai,Adresas,Namo renovacijos tipas,Butų sk.,Statybos metai,Suvartotas šilumos kiekis pastate:,,,,,,Namo plotas,Apmokestinta šiluma šildymui gyventojams,Butų plotas,Šilumos suvartojimas,Šilumos kaina gyventojams (su PVM),Mokėjimai už šilumą 1 m² ploto šildymui (su PVM),Šilumos suvartojimas 60 m² ploto buto šildymui,Mokėjimai už šilumą 60 m² ploto buto šildymui (su PVM)
,,,,,,,,,Iš viso ,Karštam vandeniui ruošti,Karšto vandens temp. palaikymui,Su nepaskirstytu karštu vandeniu,Bendrosioms reikmėms,Butų ir kitų patalpų šildymui,,,,,,,,
,,,0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C,vnt.,,,vnt.,metai,MWh,MWh,MWh,MWh,MWh,MWh,m²,MWh,m²,MWh/m²/mėn,Eur/MWh,Eur/m²/mėn,kWh/mėn,Eur/mėn
1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,1,Kaunas,"7,6","291,2",Jaunimo 4 (renov.)*,Pilnai renovuotas,64,1987,"2,22","6,533","-4,313",0,,0,"2419,08",0,"2419,1",0,"46,33",0,0,0
,74,Kaunas,"7,6","291,2",Ašmenos 1-oji g. 10,,86,2006,"28,15","11,894","1,19",,,"15,066","5049,06","15,1","5049,1",298,"46,33","0,14","179,03","8,29"
,91,Kaunas,"7,6","291,2",Radvilėnų 5),,60,2005,"28,89","8,795","4,908","-1,043",,"16,23","4933,47","15,6","4747,3",329,"46,33","0,15","197,39","9,14"
,96,Kaunas,"7,6","291,2",Krėvės 82B,,118,2007,"56,27","17,544","12,664",,,"26,062","7726,7","23,5",6972,337,"46,33","0,16","202,38","9,38"
,123,Kaunas,"7,6","291,2",Sukilėlių 87A,,72,2005,"35,09","13,791",-194,"1,203",,"20,29","5346,21","20,3","5346,2",380,"46,33","0,18","227,71","10,55"
,126,Kaunas,"7,6","291,2",Geležinio Vilko 1A,,51,2005,"18,07","5,789",332,,,"11,949","3073,94","11,7","3001,7",389,"46,33","0,18","233,24","10,8"
,128,Kaunas,"7,6","291,2",Karaliaus Mindaugo 7,,18,2006,"10,81","2,759",460,-209,,"7,8","1988,27","6,2","1587,5",392,"46,33","0,18","235,38","10,9"
,144,Kaunas,"7,6","291,2",Archyvo 48,,38,2004,"15,11","4,172",-329,877,,"10,39","2371,7","10,4","2371,7",438,"46,33","0,2","262,85","12,18"
,159,Kaunas,"7,6","291,2",Saulės 3,,22,2006,"13,41","4,157",515,,,"8,738","1698,17","8,7","1698,2",515,"46,33","0,24","308,75","14,3"
,160,Kaunas,"7,6","291,2",Prūsų g. 15,,39,2007,"19,44","6,018",992,,,"12,43","2368,78","12,4","2368,8",525,"46,33","0,24","314,85","14,59"
,180,Kaunas,"7,6","291,2",Vievio 54 (renov.),,38,1990,"18,1","5,791","8,669",-640,,"4,28","2057,9","4,3","2057,9",208,"46,33","0,1","124,79","5,78"
,193,Kaunas,"7,6","291,2",Krėvės 115 A (renov)**,Pilnai renovuotas,72,1975,"23,67","7,51","2,6",0,,"13,56","3784,1","13,6","3784,1",358,"46,33","0,17",215,"9,96"
,198,Kaunas,"7,6","291,2",Škirpos K. g. 15 (renov.)***,Pilnai renovuotas,56,1978,"23,57","7,674",308,"1,099",,"14,49","3531,4","14,5","3531,4",410,"46,33","0,19","246,19","11,4"
,200,Kaunas,"7,6","291,2",Kovo 11-osios 114 (renov.),,100,1972,"41,54","10,091","12,155",874,,"18,42","4425,3","18,4","4425,3",416,"46,33","0,19","249,75","11,57"
,208,Kaunas,"7,6","291,2",Lukšio P. 4 (renov.)***,Pilnai renovuotas,54,1982,"21,45","4,284","1,346",0,,"15,82","3554,8","15,8","3554,8",445,"46,33","0,21","267,02","12,37"
,212,Kaunas,"7,6","291,2",Krėvės 61 (renov.),,60,1968,"24,67","6,845","7,748","-2,663",,"12,74","2714,9","12,7","2714,9",469,"46,33","0,22","281,56","13,04"
,213,Kaunas,"7,6","291,2",Masiulio T. 1 (renov),,20,1959,"8,167","2,27",0,0,"1,25","4,647","985,6","4,4","941,1",471,"46,33","0,22","282,9","13,11"
,236,Kaunas,"7,6","291,2",Jėgainės 23 (renov),,12,1956,"5,548","1,818",0,0,232,"3,498","640,3","3,5","640,3",546,"46,33","0,25","327,8","15,19"
,264,Kaunas,"7,6","291,2",Sąjungos a. 7 (renov.)***,Pilnai renovuotas,32,1962,"9,83","3,468",0,0,"-1,998","8,36","1419,3","8,4","1419,3",589,"46,33","0,27","353,41","16,37"
,292,Kaunas,"7,6","291,2",Sąjungos a. 10 (renov.),,63,1960,"10,684","3,239","1,405",76,,"5,964",924,6,924,645,"46,33","0,3","387,28","17,94"
,341,Kaunas,"7,6","291,2",Lukšos-Daumanto 2,,41,1987,"25,2","4,563","7,157",-330,,"13,81","2323,4","9,9","1658,2",594,"46,33","0,28","356,63","16,52"
,347,Kaunas,"7,6","291,2",Partizanų 198,,59,1981,"45,84","8,734","14,466",,,"22,64","3356,3","22,6","3356,3",675,"46,33","0,31","404,74","18,75"
,373,Kaunas,"7,6","291,2",Baltų 2,,92,1991,"60,19","9,586","18,442",,,"32,162","3724,7","30,7","3549,5",863,"46,33","0,4","518,1",24
,377,Kaunas,"7,6","291,2",Pašilės 96,,54,1987,"36,11","4,72","11,311",839,,"19,24","2179,6","19,2","2179,6",883,"46,33","0,41","529,63","24,54"
,388,Kaunas,"7,6","291,2",Šiaurės 1,,47,1981,"46,55","5,472","13,074",444,,"27,56","2980,6","26,4","2853,9",925,"46,33","0,43","554,78","25,7"
,421,Kaunas,"7,6","291,2",Lukšio 64,,47,1979,"48,4","7,552","13,732","-2,554",,"29,67","2974,9","29,1","2918,3",997,"46,33","0,46","598,41","27,72"
,429,Kaunas,"7,6","291,2",Taikos 39,,107,1974,"49,02","8,364","14,205",,,"26,451",2560,"25,9","2503,1","1,033","46,33","0,48","619,96","28,72"
,442,Kaunas,"7,6","291,2",Šiaurės 101,,57,1982,"59,25","6,276","14,391","1,323",,"37,26","3486,1","37,3","3486,1","1,069","46,33","0,5","641,29","29,71"
,465,Kaunas,"7,6","291,2",Gravrogkų 17,,118,1961,"43,93","11,295","2,549",,,"30,087","2537,1","30,1","2537,1","1,186","46,33","0,55","711,51","32,96"
,472,Kaunas,"7,6","291,2",Partizanų 20,,108,1968,"58,52","7,03","20,5",0,,"30,99","2559,3",31,"2559,3","1,211","46,33","0,56","726,52","33,66"
,538,Kaunas,"7,6","291,2",Draugystės 6,,55,1977,"39,64","4,761","12,249",0,,"22,63","2217,3","22,6","2217,3","1,021","46,33","0,47","612,36","28,37"
,569,Kaunas,"7,6","291,2",Baršausko 78,,32,1961,"22,23","3,606",,,,"18,624","1429,6","18,6","1429,6","1,303","46,33","0,6","781,63","36,21"
,611,Kaunas,"7,6","291,2",Kalantos R. 23,,28,1957,"20,61",,,,,"20,61","1301,1","20,6","1301,1","1,584","46,33","0,73","950,43","44,03"
,619,Kaunas,"7,6","291,2",Savanorių 237,,22,1958,"21,8",,,,,"21,8","1333,8","18,2","1113,7","1,634","46,33","0,76","980,65","45,43"
,667,Kaunas,"7,6","291,2",Instituto 18,,8,iki 1992,"8,793",918,,,,"7,875","364,25","7,9","364,3","2,162","46,33",1,"1297,19","60,09"
,668,Kaunas,"7,6","291,2",Stulginskio A. 64,,18,1959,"23,28","2,04",,,,"21,24","963,8","21,2","963,8","2,204","46,33","1,02","1322,32","61,26"
,669,Kaunas,"7,6","291,2",Juozapavičiaus 48 A,,25,1957,"34,48",,,,,"34,48",1490,"34,5",1490,"2,314","46,33","1,07","1388,5","64,32"
,670,Kaunas,"7,6","291,2",Strazdo A. 77,,24,1962,"9,416",,,,,"9,416",402,"9,4",402,"2,342","46,33","1,08","1405,27","65,1"
,672,Kaunas,"7,6","291,2",Armatūrininkų 6,,7,1959,"7,74",,,,,"7,74",322,"7,7",322,"2,404","46,33","1,11","1442,33","66,82"
,675,Kaunas,"7,6","291,2",Jakšto 8,,8,1901,"8,951",,,,,"8,951","330,14",8,"294,5","2,711","46,33","1,26","1626,76","75,36"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Pastatų grupės kategorija pagal šilumos suvartojimą:,,,,,,,,,,,,,,,,,,,,,
,"I. Daugiabučiai suvartojantys mažiausiai šilumos (naujos statybos, apšiltinti, modernizuoti namai ir namai su individualiu šildymo reguliavimu ir apskaita))",,,,,,,,,,,,,,,,,,,,,
,"II. Daugiabučiai suvartojantys mažai arba vidutiniškai šilumos (modernizuoti ar kiti kažkiek taupantys šilumą namai. Taip pat naujos statybos namai, tačiau turintys didelius vitrininius langus, kur atitvarų varža atitinka tik minimalius šiuolaikinius reikalavimus, nedidelio aukštingumo ir mažiau energetiškai efektyvios pastato formos ir panašūs kiti))",,,,,,,,,,,,,,,,,,,,,
,"III. Daugiabučiai suvartojantys daug šilumos (pastatyti iki 1992 m., neapšiltinti, nusidėvėję, kuriuose nuo jų pastatymo dienos neatlikti jokie didesni remonto darbai. Senos nesubalansuotos vidaus šildymo ir karšto vandens sistemos, dalikliai individualiai šilumos apskaitai neįrengti, karšto vandens suvartojimą deklaruoja patys gyventojai))",,,,,,,,,,,,,,,,,,,,,
,"IV. Daugiaubučiai suvartojantys labai daug šilumos (senos statybos, nerenovuoti, labai prastos šiluminės izoliacijos namai. Senos nesubalansuotos vidaus šildymo ir karšto vandens sistemos)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"AB ""Kauno energija"" pastabos:",,,,,,,,,,,,,,,,,,,,,
,* Jaunimo g. 4 - su šilumos siurbliu šildymui ir karštam vandeniui,,,,,,,,,,,,,,,,,,,,,
,** Krėvės g. 115 A - su šilumos siurbliu vonių šildytuvų sistemai,,,,,,,,,,,,,,,,,,,,,
,*** Sąjungos a. 7 - su saulės kolektoriais karštam vandeniui,,,,,,,,,,,,,,,,,,,,,
