,,,,,,,,,,,,,,,,,,,,,,,,
,Šilumos suvartojimo ir mokėjimų už šilumą analizė Lietuvos miestų daugiabučiuose gyvenamuosiuose namuose (2018 m. sausio mėn),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Pastatų grupės kategorija pagal šilumos suvartojimą,Įmonė,Miestas,Vidutinė lauko oro temperatūra,Vidutinis miesto šilumos suvartojimas šildymui daugiabučiuose namuose,Vidutinis mokėjimas už šilumą 1 m² ploto šildymui mieste (su PVM),Dieno-laipsniai,Adresas,Namo renovacijos tipas,Butų sk.,Statybos metai,Suvartotas šilumos kiekis pastate:,,,,,,Namo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotas,Apmokestinta šiluma šildymui gyventojams,Butų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotas,Šilumos suvartojimas,Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM),Mokėjimai už šilumą 1 m² ploto šildymui (su PVM),Šilumos suvartojimas 60 m² ploto buto šildymui,Mokėjimai už šilumą 60 m² ploto buto šildymui (su PVM)
,,,,,,,,,,,Iš viso,Karštam vandeniui ruošti,Karšto vandens temp. palaikymui,Su nepaskirstytu karštu vandeniu,Bendrosioms reikmėms,Butų ir kitų patalpų šildymui,,,,,,,,
,,,0C,MWh/m²/mėn,Eur/m²/mėn,vnt.,,,vnt.,metai,MWh,MWh,MWh,MWh,MWh,MWh,m²,MWh,m²,MWh/m²/mėn,Eur/MWh,Eur/m²/mėn,kWh/mėn,Eur/mėn
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"I. Daugiabučiai suvartojantys mažiausiai šilumos (naujos statybos, kokybiški namai)","AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Jaunimo 4 (renov.)*,Pilnai renovuotas,64,1987,"15,2","6,1","5,9",0,0,"3,2","2419,1","3,2","2419,1",13,"61,8","0,08","79,12","4,89"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Ašmenos 1-oji g. 10,,86,2006,"59,2","15,4","1,2",0,0,"42,6","5046,7","42,6","5046,7",84,"61,8","0,52","506,98","31,33"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Radvilėnų 5,,60,2005,"61,2","10,5","6,5","-2,7",0,"46,9","4933,5","45,2","4747,3",95,"61,8","0,59",571,"35,29"
