Mokėtojo Nr.,Apskaitos taško Nr.,Objekto Nr.,Pastaba,Gatvės pavadinimas,Namo Nr.,Namo raidė
IM016009,9067,OBJ00018164,karštas-vanduo-nuosekliai,Biržiškų g.,1,
IM016009,9062,OBJ00018169,karštas-vanduo-nuosekliai,A. ir J. Gravrogkų g.,1,
IM016009,9063,OBJ00018190,karštas-vanduo-nuosekliai,A. ir J. Gravrogkų g.,3,
IM016009,9041,OBJ00018624,Karštas-vanduo-nuosekliai,M. Riomerio g.,3,
IM016009,9106,OBJ00021139,karštas-vanduo-nuosekliai,Biržiškų g.,3,
IM016009,9042,OBJ00018322,Karštas-vanduo-nuosekliai,M. Riomerio g.,4,
IM016009,9068,OBJ0001848,karštas-vanduo-nuosekliai,Biržiškų g.,5,
IM016009,9043,OBJ00022380,Karštas-vanduo-nuosekliai,M. Riomerio g.,5,
IM016009,9044,OBJ00018307,Karštas-vanduo-nuosekliai,M. Riomerio g.,6,
IM016009,9045,OBJ00018152,karštas-vanduo-nuosekliai,M. Riomerio g.,7,
IM016009,9069,OBJ0001849,karštas-vanduo-nuosekliai,Biržiškų g.,7,
IM016009,9065,OBJ00018612,karštas-vanduo-nuosekliai,A. ir J. Gravrogkų g.,7,
IM016009,9046,OBJ00018153,karštas-vanduo-nuosekliai,M. Riomerio g.,8,
IM016009,9070,OBJ00018249,karštas-vanduo-nuosekliai,Biržiškų g.,9,
IM016009,9001,OBJ00018378,karštas-vanduo-lygiagrečiai,M. Riomerio g.,9,
IM016009,9048,OBJ00030596,karštas-vanduo-nuosekliai,M. Riomerio g.,10,
IM016009,9071,OBJ00018253,karštas-vanduo- nuosekliai,Biržiškų g.,11,
IM016009,9050,OBJ00018306,Karštas-vanduo-nuosekliai,M. Riomerio g.,12,
IM016009,9051,OBJ00018383,karštas-vanduo-nuosekliai,M. Riomerio g.,13,
IM016009,9052,OBJ00030595,karštas-vanduo-nuosekliai,M. Riomerio g.,14,
IM016009,9053,OBJ00018582,karštas-vanduo-nuosekliai,M. Riomerio g.,15,
IM016009,9066,OBJ00018583,karštas-vanduo-nuosekliai,A. ir J. Gravrogkų g.,15,
IM016009,9054,OBJ00018321,Karštas-vanduo-nuosekliai,M. Riomerio g.,17,
IM016009,9055,OBJ00018167,karštas-vanduo-nuosekliai,M. Riomerio g.,19,
IM016009,9056,OBJ00018319,Karštas-vanduo-nuosekliai,M. Riomerio g.,21,
