Data,Miestas,Adresas,Mokėtojo Nr.,Objekto Nr.,Apskaitos taško Nr.,R_Nuo,R_iki,Kiekis
2015-06-17,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010763,1,501,853,352
2015-12-11,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010763,1,853,1176,323
2016-06-22,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010763,1,1176,1567,391
2016-12-14,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010763,1,1567,1916,349
2017-06-14,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010763,1,1916,2311,395
2017-12-14,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010763,1,2311,2743,432
2018-06-20,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010763,1,2743,3189,446
2018-12-12,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010763,1,3189,3601,412
2015-06-17,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010764,1,612,1028,416
2015-12-11,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010764,1,1028,1399,371
2016-06-22,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010764,1,1399,1805,406
2016-12-14,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010764,1,1805,2154,349
2017-06-14,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010764,1,2154,2497,343
2017-12-14,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010764,1,2497,2870,373
2018-06-20,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010764,1,2870,3235,365
2018-12-12,Kaunas,9-ojo Forto g. 58,IM208478,OBJ00010764,1,3235,3619,384
2015-06-10,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,4322,6388,2066
2015-08-04,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,6388,6684,296
2015-12-09,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,0,1028,1028
2016-06-09,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,1028,2585,1557
2016-12-16,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,2585,4151,1566
2017-06-09,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,4151,5778,1627
2017-09-28,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,5778,6681,903
2017-12-15,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,2,738,736
2018-06-15,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,738,2178,1440
2018-08-10,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,2178,2701,523
2018-12-13,Kaunas,A. Baranausko g. 12,IM208019,8019SN1,1,2701,3760,1059
2015-06-10,Kaunas,A. Baranausko g. 13,IM205043,5043SN1,1,2058,2870,812
2015-08-13,Kaunas,A. Baranausko g. 13,IM205043,5043SN1,1,2870,3180,310
2015-12-09,Kaunas,A. Baranausko g. 13,IM205043,5043SN1,1,0,510,510
2016-06-09,Kaunas,A. Baranausko g. 13,IM205043,5043SN1,1,510,1303,793
2016-12-16,Kaunas,A. Baranausko g. 13,IM205043,5043SN1,1,1303,2091,788
2017-06-09,Kaunas,A. Baranausko g. 13,IM205043,5043SN1,1,2091,2858,767
2017-12-15,Kaunas,A. Baranausko g. 13,IM205043,5043SN1,1,2858,3668,810
2018-06-15,Kaunas,A. Baranausko g. 13,IM205043,5043SN1,1,3668,4565,897
2018-12-13,Kaunas,A. Baranausko g. 13,IM205043,5043SN1,1,4565,5211,646
2018-04-19,Kaunas,A. Baranausko g. 19A,IM208310,8310SN1,1,106106,106106,0
2018-06-15,Kaunas,A. Baranausko g. 19A,IM208310,8310SN1,1,106106,106713,607
2018-12-13,Kaunas,A. Baranausko g. 19A,IM208310,8310SN1,1,106713,108900,2187
2015-06-10,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,2055,2971,916
2015-09-03,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,2971,3258,287
2015-12-09,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,0,403,403
2016-06-09,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,403,1251,848
2016-12-16,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,1251,1949,698
2017-06-09,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,1949,2714,765
2017-12-15,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,2714,3358,644
2018-06-15,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,3358,4045,687
2018-09-10,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,4045,4309,264
2018-12-13,Kaunas,A. Baranausko g. 19A,IM208310,OBJ00025649,9001,2,321,319
2015-06-10,Kaunas,A. Baranausko g. 28,IM206002,6002SN69,69,34160,35070,910
2015-12-16,Kaunas,A. Baranausko g. 28,IM206002,6002SN69,69,35070,35956,886
2016-06-28,Kaunas,A. Baranausko g. 28,IM206002,6002SN69,69,35956,36835,879
2016-12-16,Kaunas,A. Baranausko g. 28,IM206002,6002SN69,69,36835,37549,714
2017-06-09,Kaunas,A. Baranausko g. 28,IM206002,6002SN69,69,37549,38341,792
2017-12-21,Kaunas,A. Baranausko g. 28,IM206002,6002SN69,69,38341,39152,811
2018-06-15,Kaunas,A. Baranausko g. 28,IM206002,6002SN69,69,39152,39963,811
2018-09-10,Kaunas,A. Baranausko g. 28,IM206002,6002SN69,69,39963,40304,341
2018-12-28,Kaunas,A. Baranausko g. 28,IM206002,6002SN69,69,1,474,473
2015-06-10,Kaunas,A. Baranausko g. 28,IM206002,OBJ00018715,9069,520,920,400
2015-12-16,Kaunas,A. Baranausko g. 28,IM206002,OBJ00018715,9069,920,1294,374
2016-06-28,Kaunas,A. Baranausko g. 28,IM206002,OBJ00018715,9069,1294,1673,379
2016-12-16,Kaunas,A. Baranausko g. 28,IM206002,OBJ00018715,9069,1673,1890,217
2017-06-09,Kaunas,A. Baranausko g. 28,IM206002,OBJ00018715,9069,1890,2064,174
2017-12-21,Kaunas,A. Baranausko g. 28,IM206002,OBJ00018715,9069,2064,2179,115
2018-06-15,Kaunas,A. Baranausko g. 28,IM206002,OBJ00018715,9069,2179,2309,130
2018-09-10,Kaunas,A. Baranausko g. 28,IM206002,OBJ00018715,9069,2309,2345,36
2018-12-28,Kaunas,A. Baranausko g. 28,IM206002,OBJ00018715,9069,0,68,68
2015-06-10,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,18364,20001,1637
2015-12-16,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,20001,21583,1582
2016-06-15,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,21583,23256,1673
2016-12-15,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,23256,24818,1562
2017-06-26,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,24818,26580,1762
2017-06-28,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,26580,26580,0
2017-12-15,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,26580,28406,1826
2018-06-15,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,28406,30596,2190
2018-09-10,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,30596,31439,843
2018-12-13,Kaunas,A. Baranausko g. 30,IM206002,6002SN537,537,1,873,872
2015-06-10,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,4303,4957,654
2015-12-16,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,4957,5551,594
2016-06-15,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,5551,6273,722
2016-12-15,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,6273,6925,652
2017-06-26,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,6925,7697,772
2017-06-28,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,7697,7697,0
2017-12-21,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,7697,8459,762
2018-06-15,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,8459,9397,938
2018-09-10,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,9397,9633,236
2018-12-28,Kaunas,A. Baranausko g. 30,IM206002,OBJ00018709,9537,1,400,399
2015-06-10,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,2395,3612,1217
2015-08-31,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,3612,4226,614
2015-12-16,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,4090,4852,762
2016-06-15,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,4852,6005,1153
2016-12-15,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,6005,7326,1321
2017-06-26,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,7326,8672,1346
2017-06-28,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,8672,8672,0
2017-12-15,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,8672,9885,1213
2018-06-15,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,9885,11234,1349
2018-12-13,Kaunas,A. Baranausko g. 33,IM208023,8023SN1,1,11234,12567,1333
2015-06-10,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,1441,1994,553
2015-08-31,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,1994,2188,194
2015-12-16,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,0,323,323
2016-06-15,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,323,951,628
2016-12-15,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,951,1540,589
2017-06-26,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,1540,2197,657
2017-06-28,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,2197,2197,0
2017-12-15,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,2197,2816,619
2018-06-15,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,2816,3432,616
2018-12-13,Kaunas,A. Baranausko g. 33,IM208023,OBJ00025541,9001,3432,3967,535
2015-05-18,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,6955,7822,867
2015-06-10,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,3596,3712,116
2015-08-26,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,3712,4097,385
2015-11-02,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,12714,12714,0
2015-11-02,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,12714,12714,0
2015-12-16,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,12714,13333,619
2016-01-31,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,13333,13581,248
2016-02-01,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,13581,13581,0
2016-02-01,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,13581,13581,0
2016-02-29,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,13581,13747,166
2016-03-31,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,13747,13912,165
2016-04-04,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,13912,13934,22
2016-04-30,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,24312,24447,135
2016-05-31,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,24447,24621,174
2016-06-30,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,24621,24772,151
2016-07-31,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,24772,24916,144
2016-08-31,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,24916,25066,150
2016-09-30,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,25066,25224,158
2016-10-31,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,25224,25412,188
2016-11-30,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,25412,25593,181
2016-12-31,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,25593,25769,176
2017-01-31,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,25769,25956,187
2017-02-28,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,25956,26124,168
2017-03-31,Kaunas,A. Baranausko g. 35,IM205052,5052SN1,7001,26124,26309,185
